lambda	signal	smoothed_signal	increasing	local optima
5.43054e-07	0.239984	0.2380983949543063		
5.43534e-07	0.240255	0.23849815278247152		
5.44014e-07	0.240432	0.23882789256438836		
5.44494e-07	0.240539	0.23909386714055145		
5.44974e-07	0.240594	0.2393022104523921		
5.45455e-07	0.24061	0.23945894635198872		
5.45935e-07	0.240597	0.23957005666859146		
5.46415e-07	0.240557	0.23964154836501694		
5.46895e-07	0.240488	0.2396795298936837		
5.47375e-07	0.240386	0.23969019575942063		
5.47855e-07	0.240244	0.23967884277450968		
5.48335e-07	0.24006	0.23965128960360146		
5.48815e-07	0.239834	0.23961494607435796		
5.49295e-07	0.23957	0.23957781661625346		
5.49775e-07	0.239282	0.23954823705443906		
5.50255e-07	0.238986	0.23953430374643125		
5.50735e-07	0.238704	0.23954255296212418		
5.51215e-07	0.23846	0.23957753666054202		
5.51695e-07	0.238276	0.2396457298064345		
5.52175e-07	0.238174	0.2397535048145894		
5.52655e-07	0.238168	0.23990730603624102		
5.53135e-07	0.23827	0.24011322428958368		
5.53615e-07	0.238487	0.24037685468759284		
5.54095e-07	0.238826	0.24070277592866848		
5.54575e-07	0.239291	0.2410940060016051		
5.55056e-07	0.239884	0.24155123550810126		
5.55536e-07	0.240606	0.24207196193324645		
5.56016e-07	0.241456	0.24264950126420867		
5.56496e-07	0.242422	0.24327202829418598		
5.56976e-07	0.243486	0.2439220502253209		
5.57456e-07	0.24462	0.24457664354736675		
5.57936e-07	0.245789	0.24520889432596496		
5.58416e-07	0.246948	0.24579060077993842		
5.58896e-07	0.248048	0.24629590056943637		
5.59376e-07	0.249042	0.24670478258578085		
5.59856e-07	0.249884	0.24700536295881206		
5.60336e-07	0.250534	0.2471943658979618		
5.60816e-07	0.250957	0.2472758928744624		
5.61296e-07	0.25113	0.24726002522963797		
5.61776e-07	0.251042	0.24714570335280392		
5.62256e-07	0.250687	0.24691550426692305		
5.62736e-07	0.25007	0.2465515656226502		
5.63216e-07	0.249205	0.24603736225881226		
5.63696e-07	0.248117	0.24536000739922498		
5.64176e-07	0.246834	0.24451257424217712		
5.64656e-07	0.245387	0.2434958167203251		
5.65137e-07	0.243812	0.24231865160201388		
5.65617e-07	0.242148	0.24099693895613267		
5.66097e-07	0.240425	0.2395506735399374		
5.66577e-07	0.238667	0.23800085166338886		
5.67057e-07	0.236891	0.2363667409074053		
5.67537e-07	0.235105	0.23466405430532222		
5.68017e-07	0.23331	0.23290424534261067		
5.68497e-07	0.231495	0.23109462446635298		
5.68977e-07	0.229649	0.22923956723178335		
5.69457e-07	0.22776	0.22734178563488028		
5.69937e-07	0.225813	0.22540376186100025		
5.70417e-07	0.223796	0.22342972155229393		
